Number;Name;Type 1;Type 2;Abilities;HP;Att;Def;Spa;Spd;Spe;BST;Height;Weight;Generation;Experience type;Evolutionary Stage;Final Evolution;Catch Rate;Legendary;Mega Evolution;Alolan Form;Galarian Form;Against Normal;Against Fire;Against Water;Against Electric;Against Grass;Against Ice;Against Fighting;Against Poison;Against Ground;Against Flying;Against Psychic;Against Bug;Against Rock;Against Ghost;Against Dragon;Against Dark;Against Steel;Against Fairy
441;Chatot;Normal;Flying;['Big Pecks', 'Keen Eye', 'Tangled Feet'];76;65;45;92;42;91;411;0.5;1.9;4;Medium Slow;1;1;30;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
442;Spiritomb;Ghost;Dark;['Infiltrator', 'Pressure'];50;92;108;92;108;35;485;1.0;108.0;4;Medium Fast;1;1;100;0;0;0;0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0
443;Gible;Dragon;Ground;['Rough Skin', 'Sand Veil'];58;70;45;40;45;42;300;0.7;20.5;4;Slow;1;0;45;0;0;0;0;1.0;0.5;1.0;0.0;1.0;4.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;2.0;1.0;1.0;2.0
444;Gabite;Dragon;Ground;['Rough Skin', 'Sand Veil'];68;90;65;50;55;82;410;1.4;56.0;4;Slow;2;0;45;0;0;0;0;1.0;0.5;1.0;0.0;1.0;4.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;2.0;1.0;1.0;2.0
445;Garchomp;Dragon;Ground;['Rough Skin', 'Sand Veil'];108;130;95;80;85;102;600;1.9;95.0;4;Slow;3;1;45;0;0;0;0;1.0;0.5;1.0;0.0;1.0;4.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;2.0;1.0;1.0;2.0
445;Mega Garchomp;Dragon;Ground;['Sand Force'];108;170;115;120;95;92;700;1.9;95.0;6;Slow;3;1;45;0;1;0;0;1.0;0.5;1.0;0.0;1.0;4.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;2.0;1.0;1.0;2.0
446;Munchlax;Normal;;['Gluttony', 'Pickup', 'Thick Fat'];135;85;40;40;85;5;390;0.6;105.0;4;Slow;1;0;50;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
447;Riolu;Fighting;;['Inner Focus', 'Prankster', 'Steadfast'];40;70;40;35;40;60;285;0.7;20.2;4;Medium Slow;1;0;75;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;1.0;2.0
448;Lucario;Fighting;Steel;['Inner Focus', 'Justified', 'Steadfast'];70;110;70;115;70;90;525;1.2;54.0;4;Medium Slow;2;1;45;0;0;0;0;0.5;2.0;1.0;1.0;0.5;0.5;2.0;0.0;2.0;1.0;1.0;0.3;0.3;1.0;0.5;0.5;0.5;1.0
448;Mega Lucario;Fighting;Steel;['Adaptability'];70;145;88;140;70;112;625;1.3;57.5;6;Medium Slow;2;1;45;0;1;0;0;0.5;2.0;1.0;1.0;0.5;0.5;2.0;0.0;2.0;1.0;1.0;0.3;0.3;1.0;0.5;0.5;0.5;1.0
449;Hippopotas;Ground;;['Sand Force', 'Sand Stream'];68;72;78;38;42;32;330;0.8;49.5;4;Slow;1;0;140;0;0;0;0;1.0;1.0;2.0;0.0;2.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0
450;Hippowdon;Ground;;['Sand Force', 'Sand Stream'];108;112;118;68;72;47;525;2.0;300.0;4;Slow;2;1;60;0;0;0;0;1.0;1.0;2.0;0.0;2.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0
451;Skorupi;Poison;Bug;['Battle Armor', 'Keen Eye', 'Sniper'];40;50;90;30;55;65;330;0.8;12.0;4;Slow;1;0;120;0;0;0;0;1.0;2.0;1.0;1.0;0.3;1.0;0.3;0.5;1.0;2.0;2.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
452;Drapion;Poison;Dark;['Battle Armor', 'Keen Eye', 'Sniper'];70;90;110;60;75;95;500;1.3;61.5;4;Slow;2;1;45;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;0.5;2.0;1.0;0.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0
453;Croagunk;Poison;Fighting;['Anticipation', 'Dry Skin', 'Poison Touch'];48;61;40;61;40;50;300;0.7;23.0;4;Medium Fast;1;0;140;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;0.5;2.0;2.0;4.0;0.3;0.5;1.0;1.0;0.5;1.0;1.0
454;Toxicroak;Poison;Fighting;['Anticipation', 'Dry Skin', 'Poison Touch'];83;106;65;86;65;85;490;1.3;44.4;4;Medium Fast;2;1;75;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;0.5;2.0;2.0;4.0;0.3;0.5;1.0;1.0;0.5;1.0;1.0
455;Carnivine;Grass;;['Levitate'];74;100;72;90;72;46;454;1.4;27.0;4;Slow;1;1;200;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
456;Finneon;Water;;['Storm Drain', 'Swift Swim', 'Water Veil'];49;49;56;49;61;66;330;0.4;7.0;4;Erratic;1;0;190;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
457;Lumineon;Water;;['Storm Drain', 'Swift Swim', 'Water Veil'];69;69;76;69;86;91;460;1.2;24.0;4;Erratic;2;1;75;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
458;Mantyke;Water;Flying;['Swift Swim', 'Water Absorb', 'Water Veil'];45;20;50;60;120;50;345;1.0;65.0;4;Slow;1;0;25;0;0;0;0;1.0;0.5;0.5;4.0;1.0;1.0;0.5;1.0;0.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;1.0
459;Snover;Grass;Ice;['Snow Warning', 'Soundproof'];60;62;50;62;60;40;334;1.0;50.5;4;Slow;1;0;120;0;0;0;0;1.0;4.0;0.5;0.5;0.5;1.0;2.0;2.0;0.5;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
460;Abomasnow;Grass;Ice;['Snow Warning', 'Soundproof'];90;92;75;92;85;60;494;2.2;135.5;4;Slow;2;1;60;0;0;0;0;1.0;4.0;0.5;0.5;0.5;1.0;2.0;2.0;0.5;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
460;Mega Abomasnow;Grass;Ice;['Snow Warning'];90;132;105;132;105;30;594;2.7;185.0;6;Slow;2;1;60;0;1;0;0;1.0;4.0;0.5;0.5;0.5;1.0;2.0;2.0;0.5;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
461;Weavile;Dark;Ice;['Pickpocket', 'Pressure'];70;120;65;45;85;125;510;1.1;34.0;4;Medium Slow;2;1;45;0;0;0;0;1.0;2.0;1.0;1.0;1.0;0.5;4.0;1.0;1.0;1.0;0.0;2.0;2.0;0.5;1.0;0.5;2.0;2.0
462;Magnezone;Electric;Steel;['Analytic', 'Magnet Pull', 'Sturdy'];70;70;115;130;90;60;535;1.2;180.0;4;Medium Fast;3;1;30;0;0;0;0;0.5;2.0;1.0;0.5;0.5;0.5;2.0;0.0;4.0;0.3;0.5;0.5;0.5;1.0;0.5;1.0;0.3;0.5
463;Lickilicky;Normal;;['Cloud Nine', 'Oblivious', 'Own Tempo'];110;85;95;80;95;50;515;1.7;140.0;4;Medium Fast;2;1;30;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
464;Rhyperior;Ground;Rock;['Lightning Rod', 'Reckless', 'Solid Rock'];115;140;130;55;55;40;535;2.4;282.8;4;Slow;3;1;30;0;0;0;0;0.5;0.5;4.0;0.0;4.0;2.0;2.0;0.3;2.0;0.5;1.0;1.0;0.5;1.0;1.0;1.0;2.0;1.0
465;Tangrowth;Grass;;['Chlorophyll', 'Leaf Guard', 'Regenerator'];100;100;125;110;50;50;535;2.0;128.6;4;Medium Fast;2;1;30;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
466;Electivire;Electric;;['Motor Drive', 'Vital Spirit'];75;123;67;95;85;95;540;1.8;138.6;4;Medium Fast;3;1;30;0;0;0;0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
467;Magmortar;Fire;;['Flame Body', 'Vital Spirit'];75;95;67;125;95;83;540;1.6;68.0;4;Medium Fast;3;1;30;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
468;Togekiss;Fairy;Flying;['Hustle', 'Serene Grace', 'Super Luck'];85;50;95;120;115;80;545;1.5;38.0;4;Fast;3;1;30;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;0.3;2.0;0.0;1.0;1.0;0.3;2.0;1.0;0.0;0.5;2.0;1.0
469;Yanmega;Bug;Flying;['Frisk', 'Speed Boost', 'Tinted Lens'];86;76;86;116;56;95;515;1.9;51.5;4;Medium Fast;2;1;30;0;0;0;0;1.0;2.0;1.0;2.0;0.3;2.0;0.3;1.0;0.0;2.0;1.0;0.5;4.0;1.0;1.0;1.0;1.0;1.0
470;Leafeon;Grass;;['Chlorophyll', 'Leaf Guard'];65;110;130;60;65;95;525;1.0;25.5;4;Medium Fast;2;1;45;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
471;Glaceon;Ice;;['Ice Body', 'Snow Cloak'];65;60;110;130;95;65;525;0.8;25.9;4;Medium Fast;2;1;45;0;0;0;0;1.0;2.0;1.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0
472;Gliscor;Ground;Flying;['Hyper Cutter', 'Poison Heal', 'Sand Veil'];75;95;125;45;75;95;510;2.0;42.5;4;Medium Slow;2;1;30;0;0;0;0;1.0;1.0;2.0;0.0;1.0;4.0;0.5;0.5;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
473;Mamoswine;Ice;Ground;['Oblivious', 'Snow Cloak', 'Thick Fat'];110;130;80;70;60;80;530;2.5;291.0;4;Slow;3;1;50;0;0;0;0;1.0;2.0;2.0;0.0;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0
474;Porygon-Z;Normal;;['Adaptability', 'Analytic', 'Download'];85;80;70;135;75;90;535;0.9;34.0;4;Medium Fast;3;1;30;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
475;Gallade;Psychic;Fighting;['Justified', 'Steadfast'];68;125;65;65;115;80;518;1.6;52.0;4;Slow;3;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;2.0
475;Mega Gallade;Psychic;Fighting;['Inner Focus'];68;165;95;65;115;110;618;1.6;56.4;6;Slow;3;1;45;0;1;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;2.0
476;Probopass;Rock;Steel;['Magnet Pull', 'Sand Force', 'Sturdy'];60;55;145;75;150;40;525;1.4;340.0;4;Medium Fast;2;1;60;0;0;0;0;0.3;1.0;2.0;1.0;1.0;0.5;4.0;0.0;4.0;0.3;0.5;0.5;0.5;1.0;0.5;1.0;1.0;0.5
477;Dusknoir;Ghost;;['Frisk', 'Pressure'];45;100;135;65;135;45;525;2.2;106.6;4;Fast;3;1;45;0;0;0;0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5;1.0;1.0;1.0;0.5;1.0;2.0;1.0;2.0;1.0;1.0
478;Froslass;Ice;Ghost;['Cursed Body', 'Snow Cloak'];70;80;70;80;70;110;480;1.3;26.6;4;Medium Fast;2;1;75;0;0;0;0;0.0;2.0;1.0;1.0;1.0;0.5;0.0;0.5;1.0;1.0;1.0;0.5;2.0;2.0;1.0;2.0;2.0;1.0
479;Rotom;Electric;Ghost;['Levitate'];50;50;77;95;77;91;440;0.3;0.3;4;Medium Fast;1;1;45;0;0;0;0;0.0;1.0;1.0;0.5;1.0;1.0;0.0;0.5;2.0;0.5;1.0;0.5;1.0;2.0;1.0;2.0;0.5;1.0
479;Rotom-Wash;Electric;Water;['Levitate'];50;65;107;105;107;86;520;0.3;0.3;4;Medium Fast;1;1;45;0;0;0;0;1.0;0.5;0.5;1.0;2.0;0.5;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.3;1.0
479;Rotom-Heat;Electric;Fire;['Levitate'];50;65;107;105;107;86;520;0.3;0.3;4;Medium Fast;1;1;45;0;0;0;0;1.0;0.5;2.0;0.5;0.5;0.5;1.0;1.0;4.0;0.5;1.0;0.5;2.0;1.0;1.0;1.0;0.3;0.5
479;Rotom-Mow;Electric;Grass;['Levitate'];50;65;107;105;107;86;520;0.3;0.3;4;Medium Fast;1;1;45;0;0;0;0;1.0;2.0;0.5;0.3;0.5;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0
479;Rotom-Frost;Electric;Ice;['Levitate'];50;65;107;105;107;86;520;0.3;0.3;4;Medium Fast;1;1;45;0;0;0;0;1.0;2.0;1.0;0.5;1.0;0.5;2.0;1.0;2.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0
479;Rotom-Fan;Electric;Flying;['Levitate'];50;65;107;105;107;86;520;0.3;0.3;4;Medium Fast;1;1;45;0;0;0;0;1.0;1.0;1.0;1.0;0.5;2.0;0.5;1.0;0.0;0.5;1.0;0.5;2.0;1.0;1.0;1.0;0.5;1.0
480;Uxie;Psychic;;['Levitate'];75;75;130;75;130;95;580;0.3;0.3;4;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
481;Mesprit;Psychic;;['Levitate'];80;105;105;105;105;80;580;0.3;0.3;4;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
482;Azelf;Psychic;;['Levitate'];75;125;70;125;70;115;580;0.3;0.3;4;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
483;Dialga;Steel;Dragon;['Pressure', 'Telepathy'];100;120;120;150;100;90;680;5.4;683.0;4;Slow;1;1;3;1;0;0;0;0.5;1.0;0.5;0.5;0.3;1.0;2.0;0.0;2.0;0.5;0.5;0.5;0.5;1.0;1.0;1.0;0.5;1.0
484;Palkia;Water;Dragon;['Pressure', 'Telepathy'];90;120;100;150;120;100;680;4.2;336.0;4;Slow;1;1;3;1;0;0;0;1.0;0.3;0.3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;0.5;2.0
485;Heatran;Fire;Steel;['Flame Body', 'Flash Fire'];91;90;106;130;106;77;600;1.7;430.0;4;Slow;1;1;3;1;0;0;0;0.5;1.0;2.0;1.0;0.3;0.3;2.0;0.0;4.0;0.5;0.5;0.3;1.0;1.0;0.5;1.0;0.3;0.3
486;Regigigas;Normal;;['Slow Start'];110;160;110;80;110;100;670;3.7;420.0;4;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
487;Giratina;Ghost;Dragon;['Pressure', 'Telepathy'];150;100;120;100;120;90;680;4.5;750.0;4;Slow;1;1;3;1;0;0;0;0.0;0.5;0.5;0.5;0.5;2.0;0.0;0.5;1.0;1.0;1.0;0.5;1.0;2.0;2.0;2.0;1.0;2.0
487;Giratina-Origin;Dragon;Ghost;['Pressure'];150;120;100;120;100;90;680;6.9;650.0;4;Slow;1;1;3;1;0;0;0;0.0;0.5;0.5;0.5;0.5;2.0;0.0;0.5;1.0;1.0;1.0;0.5;1.0;2.0;2.0;2.0;1.0;2.0
488;Cresselia;Psychic;;['Levitate'];120;70;120;75;130;85;600;1.5;85.6;4;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
489;Phione;Water;;['Hydration'];80;80;80;80;80;80;480;0.4;3.1;4;Slow;1;1;30;1;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
490;Manaphy;Water;;['Hydration'];100;100;100;100;100;100;600;0.3;1.4;4;Slow;1;1;3;1;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
491;Darkrai;Dark;;['Bad Dreams'];70;90;90;135;90;125;600;1.5;50.5;4;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
492;Shaymin;Grass;;['Natural Cure'];100;100;100;100;100;100;600;0.2;2.1;4;Medium Slow;1;1;45;1;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
492;Shaymin-Sky;Grass;Flying;['Serene Grace'];100;103;75;120;75;127;600;0.4;5.2;4;Medium Slow;1;1;45;1;0;0;0;1.0;2.0;0.5;1.0;0.3;4.0;0.5;2.0;0.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0
493;Arceus;Normal;;['Multitype'];120;120;120;120;120;120;720;3.2;320.0;4;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
494;Victini;Psychic;Fire;['Victory Star'];100;100;100;100;100;100;600;0.4;4.0;5;Slow;1;1;3;1;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;0.5;1.0;2.0;1.0;0.5;1.0;2.0;2.0;1.0;2.0;0.5;0.5
495;Snivy;Grass;;['Contrary', 'Overgrow'];45;45;55;45;55;63;308;0.6;8.1;5;Medium Slow;1;0;45;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
496;Servine;Grass;;['Contrary', 'Overgrow'];60;60;75;60;75;83;413;0.8;16.0;5;Medium Slow;2;0;45;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
497;Serperior;Grass;;['Contrary', 'Overgrow'];75;75;95;75;95;113;528;3.3;63.0;5;Medium Slow;3;1;45;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
498;Tepig;Fire;;['Blaze', 'Thick Fat'];65;63;45;45;45;45;308;0.5;9.9;5;Medium Slow;1;0;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
499;Pignite;Fire;Fighting;['Blaze', 'Thick Fat'];90;93;55;70;55;55;418;1.0;55.5;5;Medium Slow;2;0;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;2.0;2.0;0.3;1.0;1.0;1.0;0.5;0.5;1.0
500;Emboar;Fire;Fighting;['Blaze', 'Reckless'];110;123;65;100;65;65;528;1.6;150.0;5;Medium Slow;3;1;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;2.0;2.0;0.3;1.0;1.0;1.0;0.5;0.5;1.0
501;Oshawott;Water;;['Shell Armor', 'Torrent'];55;55;45;63;45;45;308;0.5;5.9;5;Medium Slow;1;0;45;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
502;Dewott;Water;;['Shell Armor', 'Torrent'];75;75;60;83;60;60;413;0.8;24.5;5;Medium Slow;2;0;45;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
503;Samurott;Water;;['Shell Armor', 'Torrent'];95;100;85;108;70;70;528;1.5;94.6;5;Medium Slow;3;1;45;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
504;Patrat;Normal;;['Analytic', 'Keen Eye', 'Run Away'];45;55;39;35;39;42;255;0.5;11.6;5;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
505;Watchog;Normal;;['Analytic', 'Illuminate', 'Keen Eye'];60;85;69;60;69;77;420;1.1;27.0;5;Medium Fast;2;1;255;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
506;Lillipup;Normal;;['Pickup', 'Run Away', 'Vital Spirit'];45;60;45;25;45;55;275;0.4;4.1;5;Medium Slow;1;0;255;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
507;Herdier;Normal;;['Intimidate', 'Sand Rush', 'Scrappy'];65;80;65;35;65;60;370;0.9;14.7;5;Medium Slow;2;0;120;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
508;Stoutland;Normal;;['Intimidate', 'Sand Rush', 'Scrappy'];85;110;90;45;90;80;500;1.2;61.0;5;Medium Slow;3;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
509;Purrloin;Dark;;['Limber', 'Prankster', 'Unburden'];41;50;37;50;37;66;281;0.4;10.1;5;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
510;Liepard;Dark;;['Limber', 'Prankster', 'Unburden'];64;88;50;88;50;106;446;1.1;37.5;5;Medium Fast;2;1;90;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
511;Pansage;Grass;;['Gluttony', 'Overgrow'];50;53;48;53;48;64;316;0.6;10.5;5;Medium Fast;1;0;190;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
512;Simisage;Grass;;['Gluttony', 'Overgrow'];75;98;63;98;63;101;498;1.1;30.5;5;Medium Fast;2;1;75;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
513;Pansear;Fire;;['Blaze', 'Gluttony'];50;53;48;53;48;64;316;0.6;11.0;5;Medium Fast;1;0;190;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
514;Simisear;Fire;;['Blaze', 'Gluttony'];75;98;63;98;63;101;498;1.0;28.0;5;Medium Fast;2;1;75;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
515;Panpour;Water;;['Gluttony', 'Torrent'];50;53;48;53;48;64;316;0.6;13.5;5;Medium Fast;1;0;190;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
516;Simipour;Water;;['Gluttony', 'Torrent'];75;98;63;98;63;101;498;1.0;29.0;5;Medium Fast;2;1;75;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
517;Munna;Psychic;;['Forewarn', 'Synchronize', 'Telepathy'];76;25;45;67;55;24;292;0.6;23.3;5;Fast;1;0;190;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
518;Musharna;Psychic;;['Forewarn', 'Synchronize', 'Telepathy'];116;55;85;107;95;29;487;1.1;60.5;5;Fast;2;1;75;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
519;Pidove;Normal;Flying;['Big Pecks', 'Rivalry', 'Super Luck'];50;55;50;36;30;43;264;0.3;2.1;5;Medium Slow;1;0;255;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
520;Tranquill;Normal;Flying;['Big Pecks', 'Rivalry', 'Super Luck'];62;77;62;50;42;65;358;0.6;15.0;5;Medium Slow;2;0;120;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
521;Unfezant;Normal;Flying;['Big Pecks', 'Rivalry', 'Super Luck'];80;115;80;65;55;93;488;1.2;29.0;5;Medium Slow;3;1;45;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
522;Blitzle;Electric;;['Lightning Rod', 'Motor Drive', 'Sap Sipper'];45;60;32;50;32;76;295;0.8;29.8;5;Medium Fast;1;0;190;0;0;0;0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
